,GrLivArea,SalePrice
0,1710,208500
1,1262,181500
2,1786,223500
3,1717,140000
4,2198,250000
5,1362,143000
6,1694,307000
7,2090,200000
8,1774,129900
9,1077,118000
10,1040,129500
11,2324,345000
12,912,144000
13,1494,279500
14,1253,157000
15,854,132000
16,1004,149000
17,1296,90000
18,1114,159000
19,1339,139000
20,2376,325300
21,1108,139400
22,1795,230000
23,1060,129900
24,1060,154000
25,1600,256300
26,900,134800
27,1704,306000
28,1600,207500
29,520,68500
30,1317,40000
31,1228,149350
32,1234,179900
33,1700,165500
34,1561,277500
35,2452,309000
36,1097,145000
37,1297,153000
38,1057,109000
39,1152,82000
40,1324,160000
41,1328,170000
42,884,144000
43,938,130250
44,1150,141000
45,1752,319900
46,2149,239686
47,1656,249700
48,1452,113000
49,955,127000
50,1470,177000
51,1176,114500
52,816,110000
53,1842,385000
54,1360,130000
55,1425,180500
56,1739,172500
57,1720,196500
58,2945,438780
59,780,124900
60,1158,158000
61,1111,101000
62,1370,202500
63,1710,140000
64,2034,219500
65,2473,317000
66,2207,180000
67,1479,226000
68,747,80000
69,2287,225000
70,2223,244000
71,845,129500
72,1718,185000
73,1086,144900
74,1605,107400
75,988,91000
76,952,135750
77,1285,127000
78,1768,136500
79,1230,110000
80,2142,193500
81,1337,153500
82,1563,245000
83,1065,126500
84,1474,168500
85,2417,260000
86,1560,174000
87,1224,164500
88,1526,85000
89,990,123600
90,1040,109900
91,1235,98600
92,964,163500
93,2291,133900
94,1786,204750
95,1470,185000
96,1588,214000
97,960,94750
98,835,83000
99,1225,128950
100,1610,205000
101,1732,178000
102,1535,118964
103,1226,198900
104,1818,169500
105,1992,250000
106,1047,100000
107,789,115000
108,1517,115000
109,1844,190000
110,1855,136900
111,1430,180000
112,2696,383970
113,2259,217000
114,2320,259500
115,1458,176000
116,1092,139000
117,1125,155000
118,3222,320000
119,1456,163990
120,988,180000
121,1123,100000
122,1080,136000
123,1199,153900
124,1586,181000
125,754,84500
126,958,128000
127,840,87000
128,1348,155000
129,1053,150000
130,2157,226000
131,2054,244000
132,1327,150750
133,1296,220000
134,1721,180000
135,1682,174000
136,1214,143000
137,1959,171000
138,1852,230000
139,1764,231500
140,864,115000
141,1734,260000
142,1385,166000
143,1501,204000
144,1728,125000
145,1709,130000
146,875,105000
147,2035,222500
148,1080,141000
149,1344,115000
150,969,122000
151,1710,372402
152,1993,190000
153,1252,235000
154,1200,125000
155,1096,79000
156,1040,109500
157,1968,269500
158,1947,254900
159,2462,320000
160,1232,162500
161,2668,412500
162,1541,220000
163,882,103200
164,1616,152000
165,1355,127500
166,1867,190000
167,2161,325624
168,1720,183500
169,1707,228000
170,1382,128500
171,1656,215000
172,1767,239000
173,1362,163000
174,1651,184000
175,2158,243000
176,2060,211000
177,1920,172500
178,2234,501837
179,968,100000
180,1525,177000
181,1802,200100
182,1340,120000
183,2082,200000
184,1252,127000
185,3608,475000
186,1217,173000
187,1656,135000
188,1224,153337
189,1593,286000
190,2727,315000
191,1479,184000
192,1431,192000
193,1709,130000
194,864,127000
195,1456,148500
196,1726,311872
197,3112,235000
198,2229,104000
199,1713,274900
200,1121,140000
201,1279,171500
202,1310,112000
203,848,149000
204,1284,110000
205,1442,180500
206,1696,143900
207,1100,141000
208,2062,277000
209,1092,145000
210,864,98000
211,1212,186000
212,1852,252678
213,990,156000
214,1392,161750
